sample_name,sample_title_DO_NOT_EDIT,library_name,organism,ncbi_taxon_id,cultivar_or_isolate_or_ecotype,tissue,tissue_developmental_stage,plant_age,treatment,specimen_source,growing_location,growing_conditions,geographic_location,biological_replicate,tissue_harvested_by,tissue_harvest_date,sample_tissue_comments,nucleic_acid_extraction_method,dnase_rnase_treatment,nucleic_acid_clean_method,nucleic_acid_concentration_via_qubit_ng/ul,nanodrop_260/280,nanodrop_260/230,nucleic_acid_volume_ul,nucleic_acid_buffer,nucleic_acid_extracted_by,nucleic_acid_extraction_date,nucleic_acid_image,Plate,Well,nucleic_acid_comments
19A0171,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,,Hot Borate,yes,,1276.64,2.062,1.581,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_01,G07,
19A0462,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,89,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/10/19,,Hot Borate,yes,,1277.068,1.99,1.152,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_01,G08,
19A0035,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,31.475,1.431,0.354,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_01,G09,junk
19A0042,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,188.432,1.761,0.495,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_01,G10,junk
19A0419,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,102,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/23/19,,Hot Borate,yes,,790.254,2.011,1.075,20,Water,Jenna Hershberger,7/8/20,FALSE,SC_RNA_01,G11,
19A0325,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,660.656,2.075,1.54,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_01,G12,
19A0369,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,38.076,1.561,0.373,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_01,H01,
19A0359,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,90,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/11/19,,Hot Borate,yes,,983.719,2.009,1.207,20,Water,Jenna Hershberger,7/9/20,FALSE,SC_RNA_01,H02,
19A0280,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,738.398,2.055,1.666,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_01,H03,
19A0331,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,1313.442,1.971,1.098,20,Water,Jenna Hershberger,6/24/20,FALSE,SC_RNA_01,H04,says redo in sharpie
19A0450,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,923.111,2.061,1.73,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_01,H05,
19A0236,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,90,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/11/19,,Hot Borate,yes,,921.776,2.073,1.444,20,Water,Jenna Hershberger,7/1/20,FALSE,SC_RNA_01,H06,
19A0259,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,90,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/11/19,,Hot Borate,yes,,451.067,2.014,1.349,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,H07,
19A0337,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,,Hot Borate,yes,,660.605,2.051,1.512,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_01,H08,
19A0203,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,712.104,2.043,2.176,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_01,H09,
19A0134,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,2605.585,1.64,1.442,20,Water,Jenna Hershberger,3/15/20,TRUE,SC_RNA_01,H10,
19A0037,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,1446.745,2.012,1.562,20,Water,Jenna Hershberger,7/9/20,FALSE,SC_RNA_01,H11,
19A0306,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,766.822,2.044,1.263,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_01,H12,
19A0086,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,467.635,2.066,1.625,20,Water,Jenna Hershberger,7/1/20,FALSE,SC_RNA_02,A01,
19A0370,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,864.649,2.032,1.258,20,Water,Jenna Hershberger,7/16/20,FALSE,SC_RNA_02,A02,
19A0423,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,101,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/22/19,,Hot Borate,yes,,2217.791,1.901,1.314,20,Water,Jenna Hershberger,3/15/20,TRUE,SC_RNA_02,A03,
19A0447,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,302.969,2.044,1.395,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_02,A04,
19A0247,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,99,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/20/19,,Hot Borate,yes,,663.466,2.053,1.38,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_02,A05,
19A0162,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,465.561,2.101,1.685,20,Water,Jenna Hershberger,7/5/20,FALSE,SC_RNA_02,A06,
19A0069,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,72,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/24/19,,Hot Borate,yes,,821.997,2.044,1.649,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_02,A07,
19A0080,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,99,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/20/19,,Hot Borate,yes,,1324.763,2.104,2.151,20,Water,Jenna Hershberger,6/24/20,FALSE,SC_RNA_02,A08,
19A0173,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,"14 kernels total, one sample cup",Hot Borate,yes,,1008.17,2.029,1.375,20,Water,Jenna Hershberger,7/8/20,FALSE,SC_RNA_02,A09,
19A0357,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,603.258,1.981,0.959,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_02,A10,
19A0358,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,940.273,2.019,1.23,20,Water,Jenna Hershberger,7/9/20,FALSE,SC_RNA_02,A11,
19A0298,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,330.076,2.066,1.41,20,Water,Jenna Hershberger,7/5/20,FALSE,SC_RNA_02,A12,
19A0079,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,895.019,2.067,1.628,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_02,B01,
19A0273,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,,Hot Borate,yes,,142.822,1.919,1.138,20,Water,Jenna Hershberger,7/2/20,FALSE,SC_RNA_02,B02,
19A0103,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,559.606,2.083,2.094,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_02,B03,
19A0300,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,599.845,2.085,2.094,20,Water,Jenna Hershberger,7/2/20,FALSE,SC_RNA_02,B04,
19A0378,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,90,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/11/19,,Hot Borate,yes,,791.429,2.064,1.238,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_02,B05,
19A0346,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,97,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/18/19,,Hot Borate,yes,,1721.352,2.092,2.27,20,Water,Jenna Hershberger,3/15/20,TRUE,SC_RNA_02,B06,says redo in sharpie
19A0091,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,70,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/22/19,Earworm,Hot Borate,yes,,1023.653,2.076,1.81,20,Water,Jenna Hershberger,7/1/20,FALSE,SC_RNA_02,B07,
19A0211,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,963.191,1.753,0.437,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_02,B08,
19A0159,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,981.206,1.99,1.223,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_02,B09,
19A0076,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,43.319,1.834,1.17,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_02,B10,
Pos_Control,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,,,Hot Borate,yes,,,,,20,Water,Jenna Hershberger,,FALSE,SC_RNA_02,B11,
19A0394,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,823.988,2.006,1.552,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_02,B12,
19A0433,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,92,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/13/19,,Hot Borate,yes,,1276.614,2.013,1.542,20,Water,Jenna Hershberger,6/30/20,FALSE,SC_RNA_02,C01,
19A0059,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,99,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/20/19,,Hot Borate,yes,,734.769,2.07,1.574,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_02,C02,black styrofoam from grinder. had sticker
Pos_Control,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,,,Hot Borate,yes,,,,,20,Water,Jenna Hershberger,,FALSE,SC_RNA_02,C03,
19A0227,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,99,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/20/19,one sample,Hot Borate,yes,,890.95,2.055,1.457,20,Water,Jenna Hershberger,7/8/20,FALSE,SC_RNA_02,C04,
19A0053,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,20.746,1.398,0.324,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_02,C05,
19A0123,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,1400.387,2.079,2.142,20,Water,Jenna Hershberger,3/11/20,TRUE,SC_RNA_02,C06,
19A0094,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,562.774,2.095,1.917,20,Water,Jenna Hershberger,7/5/20,FALSE,SC_RNA_02,C07,
19A0081,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,72,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/24/19,,Hot Borate,yes,,1566.515,2.108,1.904,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_02,C08,
19A0093,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,72,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/24/19,,Hot Borate,yes,,33.495,1.55,0.399,20,Water,Jenna Hershberger,6/23/20,FALSE,SC_RNA_02,C09,
19A0182,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,99,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/20/19,,Hot Borate,yes,,207.68,1.979,0.99,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_02,C10,
19A0230,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,956.757,2.038,1.253,20,Water,Jenna Hershberger,7/9/20,FALSE,SC_RNA_02,C11,
19A0430,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,918.852,2.094,1.712,20,Water,Jenna Hershberger,3/12/20,TRUE,SC_RNA_02,C12,
19A0070,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,1141.963,2.066,1.706,20,Water,Jenna Hershberger,7/2/20,TRUE,SC_RNA_02,D01,
19A0139,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,Labeled as 19A0039 on sample cups by mistake,Hot Borate,yes,,899.173,2.056,2.227,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_02,D02,
19A0403,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,101,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/22/19,,Hot Borate,yes,,694.569,2.055,1.467,20,Water,Jenna Hershberger,7/8/20,TRUE,SC_RNA_02,D03,
19A0049,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,No stickers for this plot -- already harvested? Or stickers mixed up with 149?,Hot Borate,yes,,675.951,2.03,1.228,20,Water,Jenna Hershberger,7/9/20,FALSE,SC_RNA_02,D04,
19A0287,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,78,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/30/19,,Hot Borate,yes,,3.22,0.845,0.131,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_02,D05,
19A0349,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,1556.674,2.07,2.174,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_02,D06,
19A0178,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,1553.686,1.947,1.759,20,Water,Jenna Hershberger,3/15/20,TRUE,SC_RNA_02,D07,
19A0154,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,958.516,2.089,1.755,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_02,D08,
19A0295,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,89,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/10/19,,Hot Borate,yes,,234.906,1.987,1.139,20,Water,Jenna Hershberger,7/5/20,FALSE,SC_RNA_02,D09,
19A0088,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,655.236,2.109,2.186,20,Water,Jenna Hershberger,7/7/20,FALSE,SC_RNA_02,D10,
19A0335,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,,Hot Borate,yes,,973.301,2.075,1.763,20,Water,Jenna Hershberger,7/5/20,FALSE,SC_RNA_02,D11,
19A0316,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,1074.644,2.021,1.511,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_02,D12,
19A0428,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,210.365,1.984,1.079,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_02,E01,
19A0360,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,Only 7 kernels but no ears remaining to harvest,Hot Borate,yes,,633.127,2.073,2.133,20,Water,Jenna Hershberger,6/22/20,FALSE,SC_RNA_02,E02,
19A0252,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,76,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/28/19,,Hot Borate,yes,,609.888,2.084,1.574,20,Water,Jenna Hershberger,7/6/20,FALSE,SC_RNA_02,E03,
19A0118,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,2442.235,1.977,1.843,20,Water,Jenna Hershberger,3/11/20,TRUE,SC_RNA_02,E04,
19A0392,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,101,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/22/19,,Hot Borate,yes,,52.493,1.852,0.888,20,Water,Jenna Hershberger,7/9/20,FALSE,SC_RNA_02,E05,
19A0302,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,730.057,2.059,1.397,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_02,E06,
19A0007,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,89,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/10/19,,Hot Borate,yes,,985.53,2.059,1.916,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_02,E07,
19A0109,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,"Double primary ear, largest had no kernels so harvested second of the two",Hot Borate,yes,,1371.811,2.108,2.232,20,Water,Jenna Hershberger,7/8/20,FALSE,SC_RNA_02,E08,
19A0149,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,1078.435,2.074,1.706,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_02,E09,
19A0138,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,735.981,2.038,1.656,20,Water,Jenna Hershberger,7/2/20,TRUE,SC_RNA_02,E10,
Neg_Control,,,Zea mays,1,Cultivar,seed,400 GDD after pollination,,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,,,Hot Borate,yes,,,,,20,Water,Jenna Hershberger,,FALSE,SC_RNA_02,E11,
19A0393,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,101,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/22/19,,Hot Borate,yes,,764.303,2.044,1.331,20,Water,Jenna Hershberger,6/30/20,FALSE,SC_RNA_02,E12,
19A0333,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,,Hot Borate,yes,,79.497,2.005,1.367,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_02,F01,junk in bottom day2
